movieId,imdbId,Title,rating,Genre
154,61395,Belle de Jour,,Drama|Romance
155,112495,Beyond Rangoon (1995),6.6,Action|Drama
156,112541,Blue in the Face,,Comedy
157,109370,Canadian Bacon (1995),5.9,Comedy
160,112715,Congo (1995),5.1,Action|Adventure|Mystery
161,112740,Crimson Tide (1995),7.3,Action|Drama|Thriller
163,112851,Desperado (1995),7.2,Action|Thriller
164,112857,Devil in a Blue Dress,,Thriller|Crime|Mystery
165,112864,Die Hard with a Vengeance (1995),7.6,Action|Adventure|Thriller
166,112887,The Doom Generation (1995),5.9,Action|Comedy|Crime
168,113071,First Knight (1995),5.9,Action|Adventure|Romance
169,113114,Free Willy 2: The Adventure Home (1995),4.9,Adventure|Drama|Family
170,113243,Hackers (1995),6.2,Comedy|Crime|Drama
171,113464,Jeffrey (1995),6.7,Comedy|Drama
173,113492,Judge Dredd (1995),5.5,Action|Crime|Sci-Fi
174,113500,Jury Duty (1995),4.1,Comedy
175,113540,Kids (1995),7.0,Drama
176,113677,Living in Oblivion (1995),7.6,Comedy|Drama
178,107447,Love & Human Remains (1993),6.7,Drama|Comedy
179,113729,Mad Love (1995),5.3,Drama|Romance
180,113749,Mallrats,,Romance|Comedy
181,113820,Mighty Morphin Power Rangers: The Movie (1995),5.1,Action|Adventure|Family
183,110604,Mute Witness (1995),6.8,Horror|Thriller
184,110620,Nadja (1994),6.0,Drama|Horror
185,113957,The Net (1995),5.9,Action|Crime|Drama
187,114095,Party Girl (1995),6.6,Comedy
188,114194,The Prophecy (1995),6.6,Action|Crime|Drama
189,114241,Reckless (1995),5.1,Comedy|Drama|Fantasy
190,114323,Safe,,Drama
191,114345,The Scarlet Letter (1995),5.2,Drama|Romance
193,114436,Showgirls (1995),4.6,Drama
195,114496,Something to Talk About (1995),5.7,Comedy|Drama|Romance
196,114508,Species (1995),5.8,Action|Horror|Sci-Fi
198,114558,Strange Days,,Crime|Drama|Science Fiction|Thriller
202,114702,Total Eclipse (1995),6.6,Biography|Drama|Romance
203,114682,"To Wong Foo Thanks for Everything, Julie Newmar (1995)",6.4,Comedy|Drama
205,114798,Unstrung Heroes (1995),6.7,Comedy|Drama
206,114805,Unzipped (1995),6.4,Documentary
207,114887,A Walk in the Clouds (1995),6.6,Drama|Romance
210,114938,Wild Bill (1995),5.9,Action|Biography|Western
214,110882,Before the Rain (1994),8.1,Drama|War
215,112471,Before Sunrise (1995),8.1,Drama|Romance
216,112508,Billy Madison (1995),6.4,Comedy
218,112571,Boys on the Side (1995),6.4,Comedy|Drama
219,112757,The Cure (1995),7.7,Drama
220,112643,Castle Freak (1995),5.9,Drama|Horror|Mystery
222,112679,Circle of Friends (1995),6.6,Drama|Romance
223,109445,Clerks (1994),7.8,Comedy
224,112883,Don Juan DeMarco (1994),6.7,Comedy|Drama|Romance
225,109635,Disclosure,,Thriller|Drama|Crime
227,109676,Drop Zone,,Action|Thriller|Crime
228,112854,Destiny Turns on the Radio (1995),4.5,Crime|Comedy|Fantasy
229,109579,Death and the Maiden,,Drama|Thriller
231,109686,Dumb & Dumber (1994),7.3,Comedy
232,111797,Eat Drink Man Woman,,Comedy|Drama|Romance
234,109758,Exit to Eden,,Comedy|Crime|Thriller
235,109707,Ed Wood (1994),7.9,Biography|Comedy|Drama
236,113117,French Kiss (1995),6.5,Comedy|Drama|Romance
237,113097,Forget Paris (1995),6.4,Comedy|Romance
238,113028,Far from Home: The Adventures of Yellow Dog,,Action|Adventure|Drama|Family
239,113198,A Goofy Movie (1995),6.8,Animation|Adventure|Comedy
240,113303,Hideaway (1995),5.3,Fantasy|Horror|Thriller
241,113089,Fluke (1995),6.7,Drama|Family|Fantasy
242,109771,Farinelli,,History|Drama|Music
249,110116,Immortal Beloved (1994),7.5,Biography|Drama|Music
251,113360,The Hunted (1995),5.9,Action|Drama|Thriller
252,110099,I.Q. (1994),6.2,Comedy|Romance
255,110189,The Jerky Boys (1995),4.6,Comedy|Crime
256,110216,Junior (1994),4.5,Comedy|Romance|Sci-Fi
259,113552,Kiss of Death (1995),5.9,Action|Crime|Thriller
260,76759,Star Wars,,Adventure|Action|Science Fiction
261,110367,Little Women,,Drama|Romance
262,113670,A Little Princess (1995),7.7,Drama|Family|Fantasy
263,110296,Ladybird Ladybird (1994),7.5,Drama
265,103994,Como agua para chocolate (1992),7.2,Drama|Romance
269,107566,Mi vida loca (1993),6.5,Crime|Drama
270,110391,Love Affair (1994),5.9,Comedy|Drama|Romance
272,110428,The Madness of King George (1994),7.2,Biography|Comedy|Drama
273,109836,Mary Shelley's Frankenstein (1994),6.4,Drama|Horror|Romance
274,113755,Man of the House (1995),5.0,Comedy|Family
275,110538,Mixed Nuts,,Comedy|Drama|Romance
276,110516,Milk Money (1994),5.5,Comedy|Romance
278,113808,Miami Rhapsody,,Comedy|Romance
279,113896,My Family (1995),7.3,Drama
280,113870,Murder in the First,,Crime|Drama
281,110684,Nobody's Fool (1994),7.4,Comedy|Drama
282,110638,Nell (1994),6.5,Drama
284,117169,New York Undercover Cop,,Action|Thriller|Crime|Drama
288,110632,Natural Born Killers (1994),7.3,Crime|Drama
289,110737,Only You (1994),6.5,Comedy|Romance
292,114069,Outbreak (1995),6.6,Action|Drama|Thriller
293,110413,Léon: The Professional,,Crime|Drama|Action
294,114113,The Perez Family,,Comedy|Drama|Romance
295,114210,A Pyromaniac's Love Story (1995),5.4,Comedy|Romance
298,105652,Tui shou (1992),7.3,Comedy|Drama
299,110889,Priest (1994),7.1,Drama|Romance
300,110932,Quiz Show (1994),7.5,Biography|Drama|History
301,114129,Picture Bride (1994),6.8,Drama|Romance
302,110963,Queen Margot (1994),7.5,Biography|Crime|Drama
304,114296,Roommates (1995),6.4,Comedy|Drama
306,111495,Three Colors: Red (1994),8.1,Drama|Mystery|Romance
308,111507,Three Colors: White,,Comedy|Drama|Mystery
310,114268,Rent-a-Kid (1995),5.4,Drama|Family|Comedy
311,110965,Relative Fear (1994),5.7,Drama|Horror|Thriller
312,114571,Stuart Saves His Family (1995),5.3,Comedy|Drama
313,111333,The Swan Princess (1994),6.4,Animation|Comedy|Family
314,111112,The Secret of Roan Inish (1994),7.5,Drama|Family|Fantasy
316,111282,Stargate (1994),7.1,Action|Adventure|Sci-Fi
317,111070,The Santa Clause (1994),6.4,Comedy|Drama|Family
318,111161,The Shawshank Redemption,,Drama|Crime
319,111149,Shallow Grave (1994),7.4,Crime|Thriller
320,108260,Suture (1993),6.7,Drama|Thriller
321,106966,Strawberry and Chocolate (1993),7.5,Comedy|Drama|Romance
322,114594,Swimming with Sharks (1994),7.1,Comedy|Crime
324,111309,The Sum of Us (1994),7.4,Comedy|Drama
325,113936,Senior Trip (1995),5.6,Adventure|Comedy
326,110081,To Live,,Drama|Romance|War
327,114614,Tank Girl (1995),5.2,Action|Comedy|Sci-Fi
329,111280,Star Trek: Generations,,Science Fiction|Action|Adventure|Thriller
331,111454,Tom & Viv (1994),6.5,Biography|Drama|Romance
332,114852,Village of the Damned,,Thriller|Horror|Science Fiction
335,114788,The Underneath (1995),6.2,Crime|Thriller
336,114888,The Walking Dead,,Drama|War
337,108550,What's Eating Gilbert Grape (1993),7.8,Drama
338,114857,Virtuosity,,Action|Crime|Science Fiction|Thriller
339,114924,While You Were Sleeping (1995),6.7,Comedy|Drama|Romance
340,111667,The War (1994),6.7,Drama
341,109655,Double Happiness,,Comedy|Romance|Drama
343,112435,The Baby-Sitters Club (1995),5.7,Comedy|Drama|Family
344,109040,Ace Ventura: Pet Detective,,Comedy|Mystery|Crime
345,109045,"The Adventures of Priscilla, Queen of the Desert (1994)",7.5,Comedy|Music
347,104779,Bitter Moon (1992),7.1,Drama|Romance|Thriller
348,109348,Bullets Over Broadway (1994),7.5,Comedy|Crime
349,109444,Clear and Present Danger (1994),6.9,Action|Crime|Drama
351,109484,"Corrina, Corrina",,Comedy|Family|Romance
352,109504,Crooklyn,,Comedy|Drama
354,109450,Cobb (1994),6.5,Biography|Drama|Sport
355,109813,The Flintstones,,Fantasy|Comedy|Family
356,109830,Forrest Gump,,Comedy|Drama|Romance
359,110091,I Like It Like That,,Comedy|Drama|Romance
362,110213,The Jungle Book (1994),6.0,Adventure|Family|Romance
364,110357,The Lion King (1994),8.5,Animation|Adventure|Drama
366,111686,New Nightmare,,Horror|Mystery|Fantasy
367,110475,The Mask (1994),6.9,Comedy|Family|Fantasy
368,110478,Maverick (1994),7.0,Action|Adventure|Comedy
369,110588,Mrs. Parker and the Vicious Circle,,Drama
371,110771,The Paper (1994),6.6,Comedy|Drama
373,105226,Red Rock West,,Crime|Drama|Thriller
379,111438,Timecop (1994),5.8,Action|Crime|Sci-Fi
381,111693,When a Man Loves a Woman (1994),6.5,Drama|Romance
382,111742,Wolf (1994),6.2,Drama|Horror|Romance
383,111756,Wyatt Earp,,Western|Drama|Action|Adventure
384,112443,Bad Company (1995),5.4,Crime|Drama|Thriller
385,110455,A Man of No Importance (1994),6.9,Comedy|Drama
386,111048,S.F.W. (1994),5.9,Comedy|Drama
387,110399,A Low Down Dirty Shame (1994),5.8,Action|Comedy|Crime
388,112570,"Boys Life: Three Stories of Love, Lust, and Liberation (1994)",7.2,Drama
390,59170,"Faster, Pussycat! Kill! Kill!",,Crime|Action|Thriller|Comedy
391,110186,Jason's Lyric (1994),6.6,Crime|Drama|Romance
406,109785,Federal Hill,,Crime|Drama
407,113409,In the Mouth of Madness (1994),7.2,Fantasy|Horror|Mystery
410,106220,Addams Family Values (1993),6.6,Comedy|Fantasy
412,106226,The Age of Innocence,,Drama|Romance
413,109068,Airheads,,Comedy|Crime|Music
414,109067,The Air Up There (1994),5.5,Comedy|Family|Sport
415,106292,Another Stakeout (1993),5.5,Action|Comedy|Crime
417,109219,Barcelona (1994),7.0,Comedy|Drama|Romance
418,106379,Being Human (1994),5.4,Comedy|Drama
419,106400,The Beverly Hillbillies,,Comedy|Family
420,109254,Beverly Hills Cop III (1994),5.5,Action|Comedy|Crime
421,109279,Black Beauty (1994),6.6,Adventure|Drama|Family
422,109297,Blink,,Crime|Thriller
424,109305,Blue Chips (1994),6.1,Drama|Sport
425,109306,Blue Sky (1994),6.4,Drama|Romance
426,106452,Body Snatchers (1993),5.9,Horror|Sci-Fi
427,106471,Boxing Helena (1993),4.6,Drama|Mystery|Romance
428,106489,A Bronx Tale,,Drama|Crime
429,109361,Cabin Boy (1994),5.1,Adventure|Comedy|Romance
430,106505,Calendar Girl,,Comedy|Drama
431,106519,Carlito's Way,,Crime|Drama|Thriller
432,109439,City Slickers II: The Legend of Curly's Gold (1994),5.4,Comedy|Western
433,109443,Clean Slate,,Comedy|Mystery
434,106582,Cliffhanger (1993),6.4,Action|Adventure|Thriller
436,109456,Color of Night (1994),5.1,Mystery|Romance|Thriller
438,109493,The Cowboy Way (1994),5.8,Action|Comedy|Crime
440,106673,Dave (1993),6.8,Comedy|Romance
441,106677,Dazed and Confused (1993),7.7,Comedy
444,106834,Even Cowgirls Get the Blues (1993),4.3,Comedy|Drama|Romance
445,106873,Fatal Instinct (1993),5.7,Comedy|Crime|Thriller
448,106881,Fearless (1993),7.1,Drama|Thriller
449,106880,Fear of a Black Hat,,Comedy|Music
450,111732,With Honors (1994),6.7,Comedy|Drama
451,106926,Flesh and Bone (1993),6.2,Drama|Mystery|Romance
454,106918,The Firm,,Drama|Mystery|Thriller
455,106965,Free Willy (1993),5.9,Adventure|Drama|Family
456,109842,Fresh,,Crime|Drama|Thriller
457,106977,The Fugitive (1993),7.8,Action|Crime|Drama
458,107004,Geronimo: An American Legend,,Western|History|Action|Drama
466,107144,Hot Shots! Part Deux (1993),6.6,Action|Comedy
467,113674,Live Nude Girls (1995),5.4,Comedy
468,112966,The Englishman Who Went Up a Hill But Came Down a Mountain,,Drama|Comedy|Romance
469,107151,The House of the Spirits,,Romance|Drama
474,107206,In the Line of Fire (1993),7.2,Action|Drama|Thriller
475,107207,In the Name of the Father,,Drama
476,110137,The Inkwell (1994),6.5,Romance|Comedy|Drama
479,107286,Judgment Night (1993),6.6,Action|Crime|Drama
480,107290,Jurassic Park (1993),8.1,Adventure|Sci-Fi|Thriller
481,107302,Kalifornia (1993),6.7,Crime|Drama|Thriller
482,110265,Killing Zoe,,Action|Crime|Drama|Thriller
484,110305,Lassie (1994),5.9,Family|Adventure
485,107362,Last Action Hero (1993),6.2,Action|Adventure|Comedy
486,107413,Life with Mikey,,Comedy|Family
487,110353,Lightning Jack (1994),5.4,Comedy|Western
488,107468,M. Butterfly,,Romance|Drama
489,107478,Made in America (1993),4.9,Comedy
491,107501,The Man Without a Face (1993),6.7,Drama
493,107554,Menace II Society (1993),7.5,Crime|Drama|Thriller
494,116253,Executive Decision (1996),6.4,Action|Adventure|Thriller
495,74102,In the Realm of the Senses (1976),6.6,Biography|Drama|Horror
497,107616,Much Ado About Nothing (1993),7.4,Comedy|Drama|Romance
500,107614,Mrs. Doubtfire (1993),6.9,Comedy|Drama|Family
501,107653,Naked (1993),7.9,Comedy|Drama
502,110657,The Next Karate Kid,,Action|Drama|Family|Adventure
505,110687,North,,Comedy|Family|Fantasy|Adventure|Drama
506,107756,Orlando (1992),7.2,Biography|Drama|Fantasy
507,107808,A Perfect World (1993),7.5,Crime|Drama|Thriller
508,107818,Philadelphia,,Drama
509,107822,The Piano (1993),7.6,Drama|Music|Romance
511,107889,The Program (1993),6.4,Action|Drama|Sport
513,110939,Radioland Murders (1994),6.2,Comedy|Crime|Drama
515,107943,The Remains of the Day (1993),7.9,Drama|Romance
516,110971,Renaissance Man (1994),6.1,Comedy|Drama
517,107969,Rising Sun (1993),6.2,Action|Crime|Drama
519,107978,RoboCop 3 (1993),3.9,Action|Crime|Sci-Fi
521,107983,Romeo Is Bleeding (1993),6.6,Action|Crime|Drama
523,108000,Ruby in Paradise,,Drama|Romance
524,108002,Rudy (1993),7.5,Biography|Drama|Sport
526,105032,Savage Nights,,Drama
529,108065,Searching for Bobby Fischer,,Drama
531,108071,The Secret Garden (1993),7.3,Drama|Family|Fantasy
533,111143,The Shadow (1994),6.0,Action|Adventure|Crime
534,108101,Shadowlands (1993),7.4,Biography|Drama|Romance
536,111194,A Simple Twist of Fate (1994),6.3,Drama|Comedy
537,111201,Sirens,,Comedy|Drama
538,108149,Six Degrees of Separation (1993),6.9,Comedy|Drama|Mystery
542,108186,Son in Law (1993),5.7,Comedy|Drama|Romance
546,108255,Super Mario Bros. (1993),4.0,Adventure|Comedy|Family
547,111323,Surviving the Game (1994),6.1,Action|Adventure|Crime
548,111400,Terminal Velocity (1994),5.4,Action|Comedy|Mystery
549,108328,Thirty Two Short Films About Glenn Gould (1993),7.5,Biography|Drama|Music
550,111418,Threesome,,Comedy|Drama|Romance
552,108333,The Three Musketeers,,Action|Adventure|Comedy|Romance
558,110763,The Pagemaster,,Family|Fantasy|Animation
562,114906,Welcome to the Dollhouse (1995),7.5,Comedy|Drama
563,107002,Germinal,,Drama|Romance
564,109403,Chasers,,Comedy|Romance
567,107315,Kika,,Comedy|Drama
568,106408,Bhaji on the Beach (1993),6.5,Comedy|Drama
569,110363,Little Big League,,Comedy|Family
573,107225,"Ciao, Professore! (1992)",6.8,Comedy
575,110366,The Little Rascals (1994),6.3,Comedy|Family|Romance
577,109120,Andre (1994),5.7,Adventure|Drama|Family
579,108059,La scorta (1993),6.8,Crime|Drama|Thriller
581,112651,The Celluloid Closet (1995),7.8,Documentary|History
583,109382,Caro diario (1993),7.3,Biography|Comedy|Drama
586,99785,Home Alone,,Comedy|Family
587,99653,Ghost (1990),7.0,Drama|Fantasy|Romance
588,103639,Aladdin (1992),8.0,Animation|Adventure|Comedy
589,103064,Terminator 2: Judgment Day,,Action|Thriller|Science Fiction
590,99348,Dances with Wolves (1990),8.0,Adventure|Drama|Western
595,101414,Beauty and the Beast (1991),8.0,Animation|Family|Fantasy
597,100405,Pretty Woman (1990),6.9,Comedy|Romance
599,65214,The Wild Bunch (1969),8.0,Action|Adventure|Western
600,110395,Love and a .45 (1994),6.1,Crime|Romance|Thriller
602,109934,A Great Day in Harlem (1994),7.6,Documentary|Music
606,112625,Candyman: Farewell to the Flesh (1995),5.2,Horror
608,116282,Fargo (1996),8.1,Crime|Drama|Thriller
609,116552,Homeward Bound II: Lost in San Francisco (1996),5.9,Adventure|Comedy|Family
610,82509,Heavy Metal (1981),6.7,Animation|Adventure|Fantasy
611,116514,Hellraiser: Bloodline (1996),5.1,Horror|Sci-Fi
613,116684,Jane Eyre (1996),6.8,Drama|Romance
615,70506,Bread and Chocolate (1974),7.6,Comedy|Drama
616,65421,The AristoCats (1970),7.1,Animation|Adventure|Comedy
618,118001,Two Much (1996),5.4,Comedy|Romance
619,116165,Ed (1996),2.6,Comedy|Family|Sport
626,117891,A Thin Line Between Love and Hate (1996),5.6,Comedy|Crime|Drama
631,115509,All Dogs Go to Heaven 2,,Romance|Animation|Family|Adventure|Fantasy
632,114671,Land and Freedom (1995),7.6,Drama|War
633,112844,Denise Calls Up (1995),6.8,Comedy
634,114658,Theodore Rex (1995),2.4,Action|Comedy|Family
636,113122,Frisk (1995),4.9,Drama|Thriller
638,113448,Jack & Sarah (1995),6.6,Comedy|Drama|Romance
639,116414,Girl 6 (1996),5.0,Comedy|Drama
647,115956,Courage Under Fire,,Drama|Thriller|Mystery|War
648,117060,Mission: Impossible (1996),7.1,Action|Adventure|Thriller
649,109028,Cold Fever (1995),7.1,Comedy|Drama|Mystery
650,117071,Moll Flanders (1996),6.5,Drama|Romance
653,116136,DragonHeart,,Fantasy|Action|Adventure|Drama
662,116287,Fear,,Thriller
663,116768,Kids in the Hall: Brain Candy (1996),6.8,Comedy
668,48473,Pather Panchali,,Drama|History
670,52572,Apur Sansar,,Drama
671,117128,Mystery Science Theater 3000: The Movie (1996),7.4,Comedy|Horror|Sci-Fi
673,117705,Space Jam,,Comedy|Animation|Family|Science Fiction
674,62711,Barbarella (1968),5.9,Adventure|Comedy|Fantasy
678,108181,Some Folks Call It a Sling Blade (1994),7.6,Short|Drama|Thriller
679,114307,The Run of the Country (1995),6.2,Drama|Romance
688,114048,Operation Dumbo Drop (1995),4.9,Action|Adventure|Comedy
691,117104,Mrs. Winterbourne,,Romance|Drama
695,114736,True Crime (1995),5.3,Crime|Drama|Mystery
697,116289,Feeling Minnesota (1996),5.4,Comedy|Crime|Drama
698,109593,Delta of Venus (1995),4.5,Drama
700,112368,Angus (1995),6.7,Comedy|Drama
703,115742,Boys (1996),4.8,Mystery|Drama|Romance
704,117420,The Quest (1996),5.5,Action|Adventure|Thriller
706,117784,Sunset Park (1996),5.9,Drama|Sport
709,95776,Oliver & Company (1988),6.7,Animation|Adventure|Comedy
710,115851,Celtic Pride (1996),5.2,Comedy|Sport
711,116322,Flipper (1996),5.2,Family|Adventure
714,112817,Dead Man (1995),7.7,Drama|Fantasy|Western
718,108500,Les visiteurs (1993),7.0,Comedy|Fantasy
719,117108,Multiplicity (1996),6.0,Comedy|Romance|Sci-Fi
720,118114,Wallace & Gromit: The Best of Aardman Animation (1996),8.6,Animation|Comedy|Family
724,115963,The Craft (1996),6.3,Drama|Fantasy|Horror
725,116448,The Great White Hype (1996),5.4,Comedy|Sport
726,116827,Last Dance (1996),5.8,Drama|Thriller
735,109592,Cemetery Man (1994),7.3,Comedy|Fantasy|Horror
737,115624,Barb Wire (1996),3.2,Action|Sci-Fi
741,113568,Ghost in the Shell,,Action|Animation|Science Fiction
742,117894,Thinner (1996),5.7,Fantasy|Horror
743,117723,Spy Hard (1996),5.3,Comedy|Action
745,112691,A Close Shave (1995),8.2,Animation|Short|Comedy
747,117768,The Stupids (1996),4.1,Comedy|Adventure
750,57012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,Comedy|War
761,117331,The Phantom (1996),4.9,Action|Adventure|Comedy
762,117765,Striptease (1996),4.3,Comedy|Crime|Drama
764,113280,Heavy (1995),7.0,Drama|Romance
765,116669,Jack (1996),5.8,Comedy|Drama|Fantasy
766,116594,I Shot Andy Warhol (1996),6.6,Biography|Drama
775,63715,Spirits of the Dead (1968),6.6,Horror|Mystery
779,118523,'Til There Was You (1997),4.8,Romance|Comedy
780,116629,Independence Day (1996),6.9,Action|Adventure|Sci-Fi
781,117737,Stealing Beauty (1996),6.6,Drama|Mystery|Romance
784,115798,The Cable Guy (1996),6.0,Comedy|Drama|Thriller
786,116213,Eraser (1996),6.1,Action|Drama|Mystery
788,117218,The Nutty Professor (1996),5.6,Comedy|Romance|Sci-Fi
798,116040,Daylight (1996),5.8,Action|Adventure|Drama
799,116365,The Frighteners (1996),7.1,Comedy|Fantasy|Horror
800,116905,Lone Star,,Drama|Mystery|Romance
801,116493,Harriet the Spy (1996),5.9,Comedy|Drama|Family
802,117333,Phenomenon (1996),6.4,Drama|Fantasy|Romance
803,118113,Walking and Talking,,Comedy|Drama|Romance
804,117628,She's the One,,Romance|Comedy
806,115530,American Buffalo (1996),5.7,Drama
808,115493,Alaska,,Family|Drama|Adventure
809,116320,Fled (1996),5.3,Action|Adventure|Crime
813,116823,Larger Than Life,,Comedy|Family
818,118073,A Very Brady Sequel (1996),5.6,Comedy
823,61495,La Collectionneuse,,Drama|Romance
829,116707,Joe's Apartment,,Comedy|Fantasy
830,116313,The First Wives Club (1996),6.2,Comedy
832,117438,Ransom (1996),6.6,Crime|Thriller
833,116531,High School High (1996),5.5,Comedy|Crime|Romance
836,115857,Chain Reaction (1996),5.6,Action|Drama|Sci-Fi
837,117008,Matilda (1996),6.8,Comedy|Family|Fantasy
838,116191,Emma (1996),6.8,Comedy|Drama|Romance
839,115986,The Crow: City of Angels (1996),4.5,Action|Fantasy|Thriller
840,116571,House Arrest,,Comedy|Family
849,116225,Escape from L.A. (1996),5.7,Action|Adventure|Sci-Fi
851,115632,Basquiat,,Drama|History
852,117918,Tin Cup (1996),6.3,Comedy|Drama|Romance
858,68646,The Godfather,,Drama|Crime
861,104558,Police Story 3: Supercop (1992),6.9,Action|Comedy|Crime
866,115736,Bound (1996),7.4,Crime|Romance|Thriller
867,115836,Carpool (1996),4.9,Comedy
869,116745,Kansas City (1996),6.3,Crime|Drama|Music
876,106544,Supercop 2,,Action|Crime|Thriller|Comedy
879,120004,The Relic (1997),5.7,Horror|Mystery|Sci-Fi
881,116311,First Kid (1996),5.1,Family|Comedy
882,117965,The Trigger Effect (1996),5.7,Drama|Thriller
885,115725,Bogus (1996),5.3,Comedy|Family|Fantasy
886,115783,Bulletproof (1996),5.8,Action|Comedy|Crime
889,109001,1-900 (1994),6.3,Romance|Drama
893,117093,Mother Night (1996),7.2,Drama|Romance|War
897,35896,For Whom the Bell Tolls (1943),7.0,Adventure|Drama|History
898,32904,The Philadelphia Story,,Comedy|Romance
899,45152,Singin' in the Rain (1952),8.3,Comedy|Musical|Romance
902,54698,Breakfast at Tiffany's,,Comedy|Romance|Drama
903,52357,Vertigo (1958),8.4,Mystery|Romance|Thriller
904,47396,Rear Window (1954),8.5,Mystery|Thriller
905,25316,It Happened One Night,,Comedy|Romance
906,36855,Gaslight,,Thriller|Drama|Mystery|Crime
907,25164,The Gay Divorcee (1934),7.6,Comedy|Musical|Romance
908,53125,North by Northwest,,Thriller|Adventure
909,53604,The Apartment,,Comedy|Drama|Romance
910,53291,Some Like It Hot (1959),8.3,Comedy|Romance
912,34583,Casablanca (1942),8.5,Drama|Romance|War
913,33870,The Maltese Falcon,,Mystery|Crime|Thriller
915,47437,Sabrina,,Comedy|Romance|Drama
